Code,Date,Fy,Indicator,Units,Values,BasinOrZone,Supplier,Region,Environment,SubBasinOrSubZone,WatercourseOrGeographicArea,SubBasinArea,SubBasinProportionOfBasin,Lat,Long,Wqo,Lor,Sf,Failure,Stat
AltC1.7,2019-11-13T10:33:30Z,2020,Low_DO,%.Sat,101.2,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-11-13T10:33:30Z,2020,TP,mg.L,0.011,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2019-11-13T10:33:30Z,2020,Turbidity,NTU,3.94,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2019-12-11T16:49:34Z,2020,DIN,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2019-12-11T16:49:34Z,2020,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2019-12-11T16:49:34Z,2020,High_DO,%.Sat,127.8,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2019-12-11T16:49:34Z,2020,Low_DO,%.Sat,127.8,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2019-12-11T16:49:34Z,2020,TP,mg.L,0.018,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2019-12-11T16:49:34Z,2020,Turbidity,NTU,9.03,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-01-22T15:43:22Z,2020,DIN,mg.L,0.047,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-01-22T15:43:22Z,2020,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-01-22T15:43:22Z,2020,High_DO,%.Sat,109.2,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2020-01-22T15:43:22Z,2020,Low_DO,%.Sat,109.2,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2020-01-22T15:43:22Z,2020,TP,mg.L,0.021,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2020-01-22T15:43:22Z,2020,Turbidity,NTU,24.74,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-02-19T14:39:33Z,2020,DIN,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-02-19T14:39:33Z,2020,FRP,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-02-19T14:39:33Z,2020,High_DO,%.Sat,138.7,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2020-02-19T14:39:33Z,2020,Low_DO,%.Sat,138.7,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2020-02-19T14:39:33Z,2020,TP,mg.L,0.023,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2020-02-19T14:39:33Z,2020,Turbidity,NTU,11.34,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-08-20T15:28:23Z,2021,DIN,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-08-20T15:28:23Z,2021,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-08-20T15:28:23Z,2021,High_DO,%.Sat,117.3,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2020-08-20T15:28:23Z,2021,Low_DO,%.Sat,117.3,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2020-08-20T15:28:23Z,2021,TP,mg.L,0.019,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2020-08-20T15:28:23Z,2021,Turbidity,NTU,17.2,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-09-17T12:56:15Z,2021,DIN,mg.L,0.005,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-09-17T12:56:15Z,2021,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-09-17T12:56:15Z,2021,High_DO,%.Sat,99.2,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2020-09-17T12:56:15Z,2021,Low_DO,%.Sat,99.2,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2020-09-17T12:56:15Z,2021,TP,mg.L,0.022,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2020-09-17T12:56:15Z,2021,Turbidity,NTU,19.09,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,DIN,mg.L,0.005,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,High_DO,%.Sat,97.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,Low_DO,%.Sat,97.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2020-10-16T09:22:17Z,2021,TP,mg.L,0.014,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,Turbidity,NTU,10.88,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-11-13T11:38:30Z,2021,DIN,mg.L,0.004,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-11-13T11:38:30Z,2021,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-11-13T11:38:30Z,2021,High_DO,%.Sat,99,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2020-11-13T11:38:30Z,2021,Low_DO,%.Sat,99,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2020-11-13T11:38:30Z,2021,TP,mg.L,0.02,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2020-11-13T11:38:30Z,2021,Turbidity,NTU,11.4,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-12-08T07:37:14Z,2021,DIN,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-12-08T07:37:14Z,2021,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-12-08T07:37:14Z,2021,High_DO,%.Sat,76.4,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2020-12-08T07:37:14Z,2021,Low_DO,%.Sat,76.4,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2020-12-08T07:37:14Z,2021,TP,mg.L,0.016,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2020-12-08T07:37:14Z,2021,Turbidity,NTU,7.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2021-01-13T16:12:38Z,2021,DIN,mg.L,0.228,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2021-01-13T16:12:38Z,2021,FRP,mg.L,0.004,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2021-01-13T16:12:38Z,2021,High_DO,%.Sat,98.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2021-01-13T16:12:38Z,2021,Low_DO,%.Sat,98.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2021-01-13T16:12:38Z,2021,TP,mg.L,0.02,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2021-01-13T16:12:38Z,2021,Turbidity,NTU,12.32,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2021-02-11T15:05:29Z,2021,DIN,mg.L,0.054,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2021-02-11T15:05:29Z,2021,FRP,mg.L,0.004,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2021-02-11T15:05:29Z,2021,High_DO,%.Sat,90.8,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2021-02-11T15:05:29Z,2021,Low_DO,%.Sat,90.8,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2021-02-11T15:05:29Z,2021,TP,mg.L,0.027,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2021-02-11T15:05:29Z,2021,Turbidity,NTU,37.79,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2021-03-15T16:27:07Z,2021,DIN,mg.L,0.035,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2021-03-15T16:27:07Z,2021,FRP,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2021-03-15T16:27:07Z,2021,High_DO,%.Sat,151.6,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2021-03-15T16:27:07Z,2021,Low_DO,%.Sat,151.6,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2021-03-15T16:27:07Z,2021,TP,mg.L,0.039,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2021-03-15T16:27:07Z,2021,Turbidity,NTU,66.97,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2021-04-14T16:11:43Z,2021,DIN,mg.L,0.017,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2021-04-14T16:11:43Z,2021,FRP,mg.L,0.002,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2021-04-14T16:11:43Z,2021,High_DO,%.Sat,114.9,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2021-04-14T16:11:43Z,2021,Low_DO,%.Sat,114.9,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2021-04-14T16:11:43Z,2021,TP,mg.L,0.017,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2021-04-14T16:11:43Z,2021,Turbidity,NTU,20.2,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2021-05-10T12:47:51Z,2021,DIN,mg.L,0.004,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2021-05-10T12:47:51Z,2021,FRP,mg.L,0.006,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2021-05-10T12:47:51Z,2021,High_DO,%.Sat,118.2,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,-19.16563,146.59479,105,0.5,120,high,median
